Product Name                          	 Date      	 Vehicle No.     	 Qty.            	 Rate      	 Amount
Diesel                                	 06/04/2024	 4313            	 89              	 90.33     	 8039.00
Diesel                                	 06/04/2024	 9313            	 105.01          	 90.33     	 9486.00
Diesel                                	 06/04/2024	 8647            	 128.01          	 90.33     	 11563.00
Diesel                                	 06/04/2024	 7313            	 225.68          	 90.33     	 20386.00
Diesel                                	 06/04/2024	 2777            	 59.48           	 90.33     	 5373.00
Diesel                                	 06/04/2024	 5523            	 110             	 90.33     	 9936.00
Diesel                                	 06/04/2024	 5682            	 34              	 90.33     	 3071.00
Diesel                                	 07/04/2024	 2313            	 104             	 90.33     	 9394.00
Diesel                                	 07/04/2024	 8313            	 81              	 90.33     	 7317.00
Diesel                                	 07/04/2024	 9313            	 75.27           	 90.33     	 6799.00
Diesel                                	 07/04/2024	 4313            	 95              	 90.33     	 8581.00
Diesel                                	 07/04/2024	 5313            	 116.03          	 90.33     	 10481.00
Diesel                                	 07/04/2024	 2777            	 24              	 90.33     	 2168.00
Diesel                                	 08/04/2024	 5682            	 11.07           	 90.33     	 1000.00
Diesel                                	 08/04/2024	 2777            	 73.2            	 90.33     	 6612.00
IOC CLEARBLUE  - 20Ltr                	 09/04/2024	 2313            	 1               	 1300.00   	 1300.00
